DATA,DESCRIÇÃO,Estudantes RESIDENTES ,Outros
2023-06-01,Almoço,289,356
2023-06-01,Jantar,267,45
2023-06-02,Almoço,316,343
2023-06-02,Jantar,138,26
2023-06-03,Almoço,17,59
2023-06-05,Almoço,295,340
2023-06-05,Jantar,253,37
2023-06-06,Almoço,288,349
2023-06-06,Jantar,238,31
2023-06-07,Almoço,238,264
2023-06-07,Jantar,58,14
2023-06-12,Almoço,279,376
2023-06-12,Jantar,278,49
2023-06-13,Almoço,315,435
2023-06-13,Jantar,288,61
2023-06-14,Almoço,343,437
2023-06-14,Jantar,226,53
2023-06-15,Almoço,317,440
2023-06-15,Jantar,266,45
2023-06-16,Almoço,328,458
2023-06-16,Jantar,39,15
2023-06-17,Almoço,80,88
2023-06-19,Almoço,293,397
2023-06-19,Jantar,273,46
2023-06-20,Almoço,311,467
2023-06-20,Jantar,282,66
2023-06-21,Almoço,284,383
2023-06-21,Jantar,43,35
2023-06-22,Almoço,319,498
2023-06-22,Jantar,263,45
2023-06-23,Almoço,333,484
2023-06-23,Jantar,108,31
2023-06-24,Jantar,66,12
2023-06-25,Almoço,55,17
2023-06-26,Almoço,302,365
2023-06-26,Jantar,266,52
2023-06-27,Almoço,298,414
2023-06-27,Jantar,240,57
2023-06-28,Almoço,315,377
2023-06-28,Jantar,236,59
2023-06-29,Almoço,286,357
2023-06-29,Jantar,237,47
2023-06-30,Almoço,281,367
2023-06-30,Jantar,111,18
2023-07-01,Almoço,73,75
2023-07-01,Jantar,65,6
2023-07-03,Almoço,214,220
2023-07-03,Jantar,177,31
2023-07-04,Almoço,218,221
2023-07-04,Jantar,194,29
2023-07-05,Almoço,209,238
2023-07-05,Jantar,167,31
2023-07-06,Almoço,153,194
2023-07-06,Jantar,95,35
2023-07-07,Almoço,84,117
2023-07-08,Jantar,36,6
2023-07-09,Jantar,36,8
2023-07-10,Almoço,44,49
2023-07-10,Jantar,19,2
2023-07-11,Almoço,33,58
2023-07-11,Jantar,26,7
2023-07-12,Almoço,32,70
2023-07-12,Jantar,24,9
2023-07-13,Almoço,32,77
2023-07-13,Jantar,30,8
2023-07-14,Almoço,33,66
2023-07-14,Jantar,25,9
2023-07-15,Jantar,18,6
2023-07-16,Jantar,24,4
2023-07-17,Almoço,31,43
2023-07-17,Jantar,12,10
2023-07-18,Jantar,19,22
2023-07-19,Almoço,20,80
2023-07-19,Jantar,20,32
2023-07-20,Almoço,22,95
2023-07-20,Jantar,13,35
2023-07-21,Almoço,19,87
2023-07-21,Jantar,18,24
2023-07-22,Almoço,22,58
2023-07-22,Jantar,18,17
2023-07-23,Jantar,18,17
2023-07-24,Almoço,14,55
2023-07-24,Jantar,5,11
2023-07-25,Almoço,3,33
2023-07-25,Jantar,2,4
2023-07-26,Almoço,1,35
2023-07-26,Jantar,0,2
