Dia (Dia da Semana) ,Data (dd/mm/aa),Turno,Descarte (kg),Produção Total (kg),Produção ideal (kg),Produção - Arroz (kg),Produção - Feijão (kg),Produção - Macarrão (kg),Produção - Batata (kg),Produção - Carne (kg),Produção - Extrato de tomate (kg),Produção - Alface (Unid.),Produção - Cenoura (ou Beterraba) (kg),Produção - Couve (Maços),Produção - Tomate (kg),Produção - Pepino (kg),Produção - Cebola (kg),Classificação do dia
Quita-feira,01/06/2023,Almoço,"40,80","448,5","407,70",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quita-feira,01/06/2023,Jantar,"31,45","268,5","237,05",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Sexta-feira,02/06/2023,Almoço,"41,90","448,5","406,60",40,20,"12,5",125,120,4,15,25,30,30,25,2,1
Sexta-feira,02/06/2023,Jantar,"11,55","268,5","256,95",15,10,"12,5",40,60,4,15,25,30,30,25,2,1
Sábado,03/06/2023,Almoço,"11,15","448,5","437,35",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Sábado,03/06/2023,Jantar,"9,3","268,5","259,2",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Domingo,04/06/2023,Almoço,"2,65","448,5","445,85",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Domingo,04/06/2023,Jantar,"7,55","268,5","260,95",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Segunda-feira,05/06/2023,Almoço,"53,45","448,5","395,05",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Segunda-feira,05/06/2023,Jantar,"17,15","268,5","251,35",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Terça-feira,06/06/2023,Almoço,"32,1","448,5","416,4",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Terça-feira,06/06/2023,Jantar,"21,5","268,5",247,15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quarta-feira,07/06/2023,Almoço,48,"448,5","400,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,3
Quarta-feira,07/06/2023,Jantar,"9,51","268,5","258,99",15,10,"12,5",40,60,4,15,25,30,30,25,2,3
Quinta-feira,08/06/2023,Almoço,"5,75","448,5","442,75",40,20,"12,5",125,120,4,15,25,30,30,25,2,4
Quinta-feira,08/06/2023,Jantar,"2,1","268,5","266,4",15,10,"12,5",40,60,4,15,25,30,30,25,2,4
Sexta-feira,09/06/2023,Almoço,"3,1","448,5","445,4",40,20,"12,5",125,120,4,15,25,30,30,25,2,5
Sexta-feira,09/06/2023,Jantar,"1,2","268,5","267,3",15,10,"12,5",40,60,4,15,25,30,30,25,2,5
Sábado,10/06/2023,Almoço,"5,4","448,5","443,1",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Sábado,10/06/2023,Jantar,3,"268,5","265,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Domingo,11/06/2023,Almoço,"4,5","448,5",444,40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Domingo,11/06/2023,Jantar,"9,85","268,5","258,65",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Segunda-feira,12/06/2023,Almoço,"35,35","448,5","413,15",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Segunda-feira,12/06/2023,Jantar,"23,85","268,5","244,65",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Terça-feira,13/06/2023,Almoço,41,"448,5","407,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Terça-feira,13/06/2023,Jantar,"30,65","268,5","237,85",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quarta-feira,14/06/2023,Almoço,"36,7","448,5","411,8",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quarta-feira,14/06/2023,Jantar,14,"268,5","254,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quinta-feira,15/06/2023,Almoço,51,"448,5","397,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quinta-feira,15/06/2023,Jantar,"15,45","268,5","253,05",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Sexta-feira,16/06/2023,Almoço,"42,55","448,5","405,95",40,20,"12,5",125,120,4,15,25,30,30,25,2,1
Sexta-feira,16/06/2023,Jantar,"10,4","268,5","258,1",15,10,"12,5",40,60,4,15,25,30,30,25,2,1
Sábado,17/06/2023,Almoço,"28,8","448,5","419,7",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Sábado,17/06/2023,Jantar,"6,35","268,5","262,15",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Domingo,18/06/2023,Almoço,"12,55","448,5","435,95",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Domingo,18/06/2023,Jantar,"8,75","268,5","259,75",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Segunda-feira,19/06/2023,Almoço,53,"448,5","395,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Segunda-feira,19/06/2023,Jantar,"27,95","268,5","240,55",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Terça-feira,20/06/2023,Almoço,"50,85","448,5","397,65",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Terça-feira,20/06/2023,Jantar,"12,6","268,5","255,9",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quarta-feira,21/06/2023,Almoço,"37,7","448,5","410,8",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quarta-feira,21/06/2023,Jantar,"4,1","268,5","264,4",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quinta-feira,22/06/2023,Almoço,"48,25","448,5","400,25",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quinta-feira,22/06/2023,Jantar,"23,7","268,5","244,8",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Sexta-feira,23/06/2023,Almoço,"20,3","448,5","428,2",40,20,"12,5",125,120,4,15,25,30,30,25,2,1
Sexta-feira,23/06/2023,Jantar,"3,45","268,5","265,05",15,10,"12,5",40,60,4,15,25,30,30,25,2,1
Sábado,24/06/2023,Almoço,"8,7","448,5","439,8",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Sábado,24/06/2023,Jantar,5,"268,5","263,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Domingo,25/06/2023,Almoço,"9,35","448,5","439,15",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Domingo,25/06/2023,Jantar,"6,2","268,5","262,3",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Segunda-feira,26/06/2023,Almoço,"59,35","448,5","389,15",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Segunda-feira,26/06/2023,Jantar,19,"268,5","249,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Terça-feira,27/06/2023,Almoço,"30,6","448,5","417,9",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Terça-feira,27/06/2023,Jantar,21,"268,5","247,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quarta-feira,28/06/2023,Almoço,"40,65","448,5","407,85",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quarta-feira,28/06/2023,Jantar,"14,15","268,5","254,35",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quinta-feira,29/06/2023,Almoço,"49,15","448,5","399,35",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quinta-feira,29/06/2023,Jantar,6,"268,5","262,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Sexta-feira,30/06/2023,Almoço,"39,4","448,5","409,1",40,20,"12,5",125,120,4,15,25,30,30,25,2,1
Sexta-feira,30/06/2023,Jantar,4,"268,5","264,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,1
Sábado,01/07/2023,Almoço,"12,45","448,5","436,05",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Sábado,01/07/2023,Jantar,"6,4","268,5","262,1",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Domingo,02/07/2023,Almoço,"7,1","448,5","441,4",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Domingo,02/07/2023,Jantar,"4,35","268,5","264,15",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Segunda-feira,03/07/2023,Almoço,"24,15","448,5","424,35",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Segunda-feira,03/07/2023,Jantar,"9,95","268,5","258,55",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Terça-feira,04/07/2023,Almoço,"29,65","448,5","418,85",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Terça-feira,04/07/2023,Jantar,"16,1","268,5","252,4",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quarta-feira,05/07/2023,Almoço,"22,15","448,5","426,35",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quarta-feira,05/07/2023,Jantar,"9,5","268,5",259,15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quinta-feira,06/07/2023,Almoço,"28,65","448,5","419,85",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quinta-feira,06/07/2023,Jantar,"4,5","268,5",264,15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Sexta-feira,07/07/2023,Almoço,"13,95","448,5","434,55",40,20,"12,5",125,120,4,15,25,30,30,25,2,1
Sexta-feira,07/07/2023,Jantar,"12,45","268,5","256,05",15,10,"12,5",40,60,4,15,25,30,30,25,2,1
Sábado,08/07/2023,Almoço,2,"448,5","446,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Sábado,08/07/2023,Jantar,4,"268,5","264,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Domingo,09/07/2023,Almoço,3,"448,5","445,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Domingo,09/07/2023,Jantar,"4,3","268,5","264,2",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
